route,html_lang,html_dir,language,region,title,title_length,description,desc_length,keywords,robots,google_verification,canonical,hreflang_count,hreflang_en_sa,hreflang_ar_sa,hreflang_en_sy,hreflang_ar_sy,hreflang_x_default,hreflang_all,og_title,og_description,og_url,og_type,og_image,og_locale,og_locale_alt,og_site_name,twitter_card,twitter_title,twitter_description,twitter_image,twitter_site,geo_region,geo_placename,geo_position,content_language,schema_count,schema_types,preload_images
/,ar,rtl,ar,root,CounselO | Online Legal Consultation in Saudi Arabia & Syria,60,Get online legal consultation for Saudi Arabia or Syria in Arabic or English. Senior lawyer-led answers within 24 hours via WhatsApp or email.,142,"online legal consultation Saudi Arabia Syria, استشارة قانونية أونلاين السعودية سوريا, lawyer Saudi Arabia online, محامي أونلاين المملكة, محامي أونلاين سوريا, legal advice Middle East, مشورة قانونية الشرق الأوسط, CounselO, Omar Al-Baghdadi","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/,5,https://counselo-legal.com/sa,https://counselo-legal.com/sa/ar,https://counselo-legal.com/syr,https://counselo-legal.com/syr/ar,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa; ar-SA=https://counselo-legal.com/sa/ar; en-SY=https://counselo-legal.com/syr; ar-SY=https://counselo-legal.com/syr/ar; x-default=https://counselo-legal.com/,CounselO | Online Legal Consultation in Saudi Arabia & Syria,Get online legal consultation for Saudi Arabia or Syria in Arabic or English. Senior lawyer-led answers within 24 hours via WhatsApp or email.,https://counselo-legal.com/,website,https://counselo-legal.com/opengraph.jpg,ar_SA,en_US,CounselO كاونسلو,summary_large_image,CounselO | Online Legal Consultation in Saudi Arabia & Syria,Get online legal consultation for Saudi Arabia or Syria in Arabic or English. Senior lawyer-led answers within 24 hours via WhatsApp or email.,https://counselo-legal.com/opengraph.jpg,@CounselOLegal,MENA,Middle East,,,1,WebSite,/assets/Screen_Shot_2026-07-01_at_12.26.11_AM_1782851175169-Dp5Ba-v8.png; /assets/image_1782789705620-1URgpRUc.jpeg; /assets/360_F_1136337946_c5gr8LMbgzdkl80hVpy8xRXYYQBTlp5x_1782856203372-CG-KNRoG.jpg
/sa,en,ltr,en,sa,Online Legal Consultation in Saudi Arabia | CounselO,52,Get online legal consultation in Saudi Arabia in Arabic or English. Senior lawyer-led guidance within 24 hours via WhatsApp or email.,133,"online legal consultation Saudi Arabia, Saudi Arabia online legal platform, lawyer online Saudi Arabia, legal advice within 24 hours KSA, family law Saudi Arabia, commercial law KSA, employment law Saudi Arabia, real estate law KSA, foreign investment lawyer Saudi Arabia, administrative law KSA, criminal law Saudi Arabia, banking finance law, tax zakat lawyer, medical malpractice KSA, WhatsApp legal consultation, Omar Al-Baghdadi, Jubail lawyer, Vision 2030 legal, CounselO","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa,5,https://counselo-legal.com/sa,https://counselo-legal.com/sa/ar,https://counselo-legal.com/syr,https://counselo-legal.com/syr/ar,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa; ar-SA=https://counselo-legal.com/sa/ar; en-SY=https://counselo-legal.com/syr; ar-SY=https://counselo-legal.com/syr/ar; x-default=https://counselo-legal.com/,Online Legal Consultation in Saudi Arabia | CounselO,Get online legal consultation in Saudi Arabia in Arabic or English. Senior lawyer-led guidance within 24 hours via WhatsApp or email.,https://counselo-legal.com/sa,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,Online Legal Consultation in Saudi Arabia | CounselO,Get online legal consultation in Saudi Arabia in Arabic or English. Senior lawyer-led guidance within 24 hours via WhatsApp or email.,https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,2,"LegalService, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/sa/services,en,ltr,en,sa,17 Legal Practice Areas in Saudi Arabia | CounselO,50,"Choose your legal consultation area in Saudi Arabia: family, employment, real estate, companies, contracts, arbitration, criminal law, tax, and more.",149,"legal services Saudi Arabia, 17 practice areas KSA, family law Saudi Arabia, commercial law KSA, employment law Saudi Arabia, property law KSA, foreign investment lawyer Saudi Arabia, administrative law KSA, criminal law Saudi Arabia, banking finance law KSA, tax zakat lawyer Saudi, cyber law Saudi Arabia, medical malpractice KSA, insurance law Saudi, arbitration KSA, enforcement law Saudi, companies law KSA, intellectual property Saudi, online lawyer Jubail, CounselO","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa/services,5,https://counselo-legal.com/sa/services,https://counselo-legal.com/sa/ar/services,https://counselo-legal.com/syr/services,https://counselo-legal.com/syr/ar/services,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/services; ar-SA=https://counselo-legal.com/sa/ar/services; en-SY=https://counselo-legal.com/syr/services; ar-SY=https://counselo-legal.com/syr/ar/services; x-default=https://counselo-legal.com/,17 Legal Practice Areas in Saudi Arabia | CounselO,"Choose your legal consultation area in Saudi Arabia: family, employment, real estate, companies, contracts, arbitration, criminal law, tax, and more.",https://counselo-legal.com/sa/services,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,17 Legal Practice Areas in Saudi Arabia | CounselO,"Choose your legal consultation area in Saudi Arabia: family, employment, real estate, companies, contracts, arbitration, criminal law, tax, and more.",https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,3,"ItemList, LegalService, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/sa/about,en,ltr,en,sa,About CounselO | Legal Consultations in Saudi Arabia,52,"Learn about CounselO, an online legal consultation platform for Saudi Arabia, led by Lawyer Omar Al-Baghdadi and built for confidential legal guidance.",151,"about CounselO, online legal platform Saudi Arabia, lawyer Omar Al-Baghdadi, specialized legal platform KSA, Vision 2030 legal services, online legal consultation Saudi Arabia","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa/about,5,https://counselo-legal.com/sa/about,https://counselo-legal.com/sa/ar/about,https://counselo-legal.com/syr/about,https://counselo-legal.com/syr/ar/about,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/about; ar-SA=https://counselo-legal.com/sa/ar/about; en-SY=https://counselo-legal.com/syr/about; ar-SY=https://counselo-legal.com/syr/ar/about; x-default=https://counselo-legal.com/,About CounselO | Legal Consultations in Saudi Arabia,"Learn about CounselO, an online legal consultation platform for Saudi Arabia, led by Lawyer Omar Al-Baghdadi and built for confidential legal guidance.",https://counselo-legal.com/sa/about,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,About CounselO | Legal Consultations in Saudi Arabia,"Learn about CounselO, an online legal consultation platform for Saudi Arabia, led by Lawyer Omar Al-Baghdadi and built for confidential legal guidance.",https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,3,"Organization, Person, WebPage",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/sa/contact,en,ltr,en,sa,Book Online Legal Consultation in Saudi Arabia | CounselO,57,Contact CounselO to book an online legal consultation in Saudi Arabia. Send your case details and receive legal guidance within 24 hours.,137,"book legal consultation Saudi Arabia, contact lawyer online KSA, WhatsApp legal consultation Saudi Arabia, legal advice within 24 hours, Jubail lawyer online, CounselO contact, book lawyer KSA","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa/contact,5,https://counselo-legal.com/sa/contact,https://counselo-legal.com/sa/ar/contact,https://counselo-legal.com/syr/contact,https://counselo-legal.com/syr/ar/contact,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/contact; ar-SA=https://counselo-legal.com/sa/ar/contact; en-SY=https://counselo-legal.com/syr/contact; ar-SY=https://counselo-legal.com/syr/ar/contact; x-default=https://counselo-legal.com/,Book Online Legal Consultation in Saudi Arabia | CounselO,Contact CounselO to book an online legal consultation in Saudi Arabia. Send your case details and receive legal guidance within 24 hours.,https://counselo-legal.com/sa/contact,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,Book Online Legal Consultation in Saudi Arabia | CounselO,Contact CounselO to book an online legal consultation in Saudi Arabia. Send your case details and receive legal guidance within 24 hours.,https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,3,"ContactPage, LegalService, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/sa/blog,en,ltr,en,sa,Legal Blog in Saudi Arabia | CounselO,37,"Practical legal guides for Saudi Arabia covering family, employment, real estate, companies, contracts, investment, disputes, and more.",135,"Saudi legal blog, free legal guides Saudi Arabia, family law articles, employment law, real estate law guide, commercial law, foreign investment guide, administrative law, CounselO blog","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa/blog,5,https://counselo-legal.com/sa/blog,https://counselo-legal.com/sa/ar/blog,https://counselo-legal.com/syr/blog,https://counselo-legal.com/syr/ar/blog,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/blog; ar-SA=https://counselo-legal.com/sa/ar/blog; en-SY=https://counselo-legal.com/syr/blog; ar-SY=https://counselo-legal.com/syr/ar/blog; x-default=https://counselo-legal.com/,Legal Blog in Saudi Arabia | CounselO,"Practical legal guides for Saudi Arabia covering family, employment, real estate, companies, contracts, investment, disputes, and more.",https://counselo-legal.com/sa/blog,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,Legal Blog in Saudi Arabia | CounselO,"Practical legal guides for Saudi Arabia covering family, employment, real estate, companies, contracts, investment, disputes, and more.",https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,2,"Blog, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/sa/terms-of-service,en,ltr,en,sa,Terms of Service | CounselO Saudi Arabia,40,"Review CounselO Saudi Arabia&#x27;s consultation process, including submission, fee confirmation, payment, delivery, and clarification policy.",142,"CounselO terms of service, how online legal consultation works Saudi Arabia, legal advice WhatsApp KSA, consultation fees lawyer, online legal process","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa/terms-of-service,5,https://counselo-legal.com/sa/terms-of-service,https://counselo-legal.com/sa/ar/terms-of-service,https://counselo-legal.com/syr/terms-of-service,https://counselo-legal.com/syr/ar/terms-of-service,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/terms-of-service; ar-SA=https://counselo-legal.com/sa/ar/terms-of-service; en-SY=https://counselo-legal.com/syr/terms-of-service; ar-SY=https://counselo-legal.com/syr/ar/terms-of-service; x-default=https://counselo-legal.com/,Terms of Service | CounselO Saudi Arabia,"Review CounselO Saudi Arabia&#x27;s consultation process, including submission, fee confirmation, payment, delivery, and clarification policy.",https://counselo-legal.com/sa/terms-of-service,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,Terms of Service | CounselO Saudi Arabia,"Review CounselO Saudi Arabia&#x27;s consultation process, including submission, fee confirmation, payment, delivery, and clarification policy.",https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,2,"WebPage, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/sa/privacy-policy,en,ltr,en,sa,Privacy Policy | CounselO Saudi Arabia,38,"Learn how CounselO collects, protects, and handles Saudi Arabia legal consultation data while preserving client confidentiality.",128,"CounselO privacy policy, data protection Saudi Arabia, legal consultation confidentiality, PDPL Saudi Arabia, client data privacy","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/sa/privacy-policy,5,https://counselo-legal.com/sa/privacy-policy,https://counselo-legal.com/sa/ar/privacy-policy,https://counselo-legal.com/syr/privacy-policy,https://counselo-legal.com/syr/ar/privacy-policy,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/privacy-policy; ar-SA=https://counselo-legal.com/sa/ar/privacy-policy; en-SY=https://counselo-legal.com/syr/privacy-policy; ar-SY=https://counselo-legal.com/syr/ar/privacy-policy; x-default=https://counselo-legal.com/,Privacy Policy | CounselO Saudi Arabia,"Learn how CounselO collects, protects, and handles Saudi Arabia legal consultation data while preserving client confidentiality.",https://counselo-legal.com/sa/privacy-policy,website,https://counselo-legal.com/og-image.png,en_US,ar_SA,CounselO كاونسلو,summary_large_image,Privacy Policy | CounselO Saudi Arabia,"Learn how CounselO collects, protects, and handles Saudi Arabia legal consultation data while preserving client confidentiality.",https://counselo-legal.com/og-image.png,@CounselOLegal,SA,Saudi Arabia,24.774265;46.738586,en,2,"WebPage, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/image_1782789705620-1URgpRUc.jpeg; /logo.png
/syr,en,ltr,en,syr,Online Legal Consultation in Syria | CounselO,45,Get online legal consultation in Syria in Arabic or English. Senior lawyer-led guidance within 24 hours via WhatsApp or email.,126,"online legal consultation Syria, Syria legal consultation platform, lawyer online Syria, legal advice within 24 hours Syria, Syrian Civil Code, family law Syria, companies law Syria 29/2011, employment law Syria 17/2010, real estate law Syria, Central Bank of Syria, General Tax Authority Syria, Omar Al-Baghdadi, Damascus lawyer online, CounselO Syria","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/syr,5,https://counselo-legal.com/sa,https://counselo-legal.com/sa/ar,https://counselo-legal.com/syr,https://counselo-legal.com/syr/ar,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa; ar-SA=https://counselo-legal.com/sa/ar; en-SY=https://counselo-legal.com/syr; ar-SY=https://counselo-legal.com/syr/ar; x-default=https://counselo-legal.com/,Online Legal Consultation in Syria | CounselO,Get online legal consultation in Syria in Arabic or English. Senior lawyer-led guidance within 24 hours via WhatsApp or email.,https://counselo-legal.com/syr,website,https://counselo-legal.com/og-image.png,en_US,ar_SY,CounselO كاونسلو,summary_large_image,Online Legal Consultation in Syria | CounselO,Get online legal consultation in Syria in Arabic or English. Senior lawyer-led guidance within 24 hours via WhatsApp or email.,https://counselo-legal.com/og-image.png,@CounselOLegal,SY,Syria,34.802075;38.996815,en,2,"LegalService, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/360_F_1136337946_c5gr8LMbgzdkl80hVpy8xRXYYQBTlp5x_1782856203372-CG-KNRoG.jpg; /logo.png
/syr/services,en,ltr,en,syr,20 Legal Practice Areas in Syria | CounselO,43,"Choose your legal consultation area in Syria: family, employment, real estate, companies, contracts, arbitration, criminal law, tax, and more.",142,"legal services Syria, 20 practice areas Syria, family law Syria, civil law Syria, employment law Syria, real estate law Syria, foreign investment Syria, administrative law Syria, criminal law Syria, banking law Syria, tax law Syria, companies law Syria 29/2011, arbitration Syria 4/2008, cyber law Syria, medical malpractice Syria, insurance law Syria, online lawyer Damascus, CounselO Syria","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/syr/services,5,https://counselo-legal.com/sa/services,https://counselo-legal.com/sa/ar/services,https://counselo-legal.com/syr/services,https://counselo-legal.com/syr/ar/services,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/services; ar-SA=https://counselo-legal.com/sa/ar/services; en-SY=https://counselo-legal.com/syr/services; ar-SY=https://counselo-legal.com/syr/ar/services; x-default=https://counselo-legal.com/,20 Legal Practice Areas in Syria | CounselO,"Choose your legal consultation area in Syria: family, employment, real estate, companies, contracts, arbitration, criminal law, tax, and more.",https://counselo-legal.com/syr/services,website,https://counselo-legal.com/og-image.png,en_US,ar_SY,CounselO كاونسلو,summary_large_image,20 Legal Practice Areas in Syria | CounselO,"Choose your legal consultation area in Syria: family, employment, real estate, companies, contracts, arbitration, criminal law, tax, and more.",https://counselo-legal.com/og-image.png,@CounselOLegal,SY,Syria,34.802075;38.996815,en,3,"ItemList, LegalService, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/360_F_1136337946_c5gr8LMbgzdkl80hVpy8xRXYYQBTlp5x_1782856203372-CG-KNRoG.jpg; /logo.png
/syr/about,en,ltr,en,syr,About CounselO | Legal Consultations in Syria,45,"Learn about CounselO, an online legal consultation platform for Syria, led by Lawyer Omar Al-Baghdadi and built for confidential legal guidance.",144,"about CounselO, online legal platform Syria, lawyer Omar Al-Baghdadi, specialized legal platform Syria, online legal consultation Syria, Syrian law expert","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/syr/about,5,https://counselo-legal.com/sa/about,https://counselo-legal.com/sa/ar/about,https://counselo-legal.com/syr/about,https://counselo-legal.com/syr/ar/about,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/about; ar-SA=https://counselo-legal.com/sa/ar/about; en-SY=https://counselo-legal.com/syr/about; ar-SY=https://counselo-legal.com/syr/ar/about; x-default=https://counselo-legal.com/,About CounselO | Legal Consultations in Syria,"Learn about CounselO, an online legal consultation platform for Syria, led by Lawyer Omar Al-Baghdadi and built for confidential legal guidance.",https://counselo-legal.com/syr/about,website,https://counselo-legal.com/og-image.png,en_US,ar_SY,CounselO كاونسلو,summary_large_image,About CounselO | Legal Consultations in Syria,"Learn about CounselO, an online legal consultation platform for Syria, led by Lawyer Omar Al-Baghdadi and built for confidential legal guidance.",https://counselo-legal.com/og-image.png,@CounselOLegal,SY,Syria,34.802075;38.996815,en,3,"Organization, Person, WebPage",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/360_F_1136337946_c5gr8LMbgzdkl80hVpy8xRXYYQBTlp5x_1782856203372-CG-KNRoG.jpg; /logo.png
/syr/contact,en,ltr,en,syr,Book Online Legal Consultation in Syria | CounselO,50,Contact CounselO to book an online legal consultation in Syria. Send your case details and receive legal guidance within 24 hours.,130,"book legal consultation Syria, contact lawyer online Syria, WhatsApp legal consultation Syria, legal advice within 24 hours Syria, Damascus lawyer online, CounselO contact Syria, book lawyer Syria","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/syr/contact,5,https://counselo-legal.com/sa/contact,https://counselo-legal.com/sa/ar/contact,https://counselo-legal.com/syr/contact,https://counselo-legal.com/syr/ar/contact,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/contact; ar-SA=https://counselo-legal.com/sa/ar/contact; en-SY=https://counselo-legal.com/syr/contact; ar-SY=https://counselo-legal.com/syr/ar/contact; x-default=https://counselo-legal.com/,Book Online Legal Consultation in Syria | CounselO,Contact CounselO to book an online legal consultation in Syria. Send your case details and receive legal guidance within 24 hours.,https://counselo-legal.com/syr/contact,website,https://counselo-legal.com/og-image.png,en_US,ar_SY,CounselO كاونسلو,summary_large_image,Book Online Legal Consultation in Syria | CounselO,Contact CounselO to book an online legal consultation in Syria. Send your case details and receive legal guidance within 24 hours.,https://counselo-legal.com/og-image.png,@CounselOLegal,SY,Syria,34.802075;38.996815,en,3,"ContactPage, LegalService, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/360_F_1136337946_c5gr8LMbgzdkl80hVpy8xRXYYQBTlp5x_1782856203372-CG-KNRoG.jpg; /logo.png
/syr/blog,en,ltr,en,syr,Legal Blog in Syria | CounselO,30,"Practical legal guides for Syria covering family, employment, real estate, companies, contracts, investment, disputes, and more.",128,"Syrian legal blog, free legal guides Syria, family law articles, employment law, real estate law guide, commercial law, foreign investment guide, administrative law, CounselO blog","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",ahgWvG0xGZzRQTcibteUzghojzVD_cxk3FxpDe3C15M,https://counselo-legal.com/syr/blog,5,https://counselo-legal.com/sa/blog,https://counselo-legal.com/sa/ar/blog,https://counselo-legal.com/syr/blog,https://counselo-legal.com/syr/ar/blog,https://counselo-legal.com/,en-SA=https://counselo-legal.com/sa/blog; ar-SA=https://counselo-legal.com/sa/ar/blog; en-SY=https://counselo-legal.com/syr/blog; ar-SY=https://counselo-legal.com/syr/ar/blog; x-default=https://counselo-legal.com/,Legal Blog in Syria | CounselO,"Practical legal guides for Syria covering family, employment, real estate, companies, contracts, investment, disputes, and more.",https://counselo-legal.com/syr/blog,website,https://counselo-legal.com/og-image.png,en_US,ar_SY,CounselO كاونسلو,summary_large_image,Legal Blog in Syria | CounselO,"Practical legal guides for Syria covering family, employment, real estate, companies, contracts, investment, disputes, and more.",https://counselo-legal.com/og-image.png,@CounselOLegal,SY,Syria,34.802075;38.996815,en,2,"Blog, BreadcrumbList",/assets/Screen_Shot_2026-07-02_at_12.27.45_AM_1782937671982-C9Fuva_M.png; /assets/360_F_1136337946_c5gr8LMbgzdkl80hVpy8xRXYYQBTlp5x_1782856203372-CG-KNRoG.jpg; /logo.png
