route,language,region,family,primary_intent,research_state,assigned_queries,next_action,answer_completeness
/,en,shared,shared or regional page,Online Legal Consultation.,dated-observed-query-candidates,counselo,Validate candidate queries against full answers and jurisdiction before editing,not-established-by-assignment-or-html-parsing
/ar,ar,shared,shared or regional page,استشارة قانونية عبر الإنترنت.,no-direct-query-evidence-in-inputs,,Research same-language queries for this specific purpose; lack of evidence is not lack of demand,not-established-by-assignment-or-html-parsing
/ar/legal-library,ar,shared,shared or regional page,معرفة قانونية منظّمة لقرارات عملية.,keyword-export-candidates,إجراء قانوني | اعادة التماس النظر | اعادة النظر | اعادة النظر في الحكم | اعادة النظر في حكم المحكمة | اعتراض على حكم | اعتراض على حكم مطالبة مالية | اعداد المذكرات القانونية | الاعتراض على الحكم | الاعتراض على الحكم القضائي | الاعتراض على حكم | الاعتراض على حكم محكمة الاستئناف | الاعتراض على رد الدعوى | الاعتراض على محكمة الاستئناف | التعويض عن الضرر | التعويض عن الضرر في النظام السعودي | التماس إعادة النظر أمام محكمة الاستئناف | التماس اعادة النظر | التماس اعادة النظر في الحكم | التماس اعادة النظر في النظام السعودي | التماس اعادة النظر في حكم الاستئناف | الحكم الابتدائي | الدعوى الالكترونية | القضايا القانونية | المحكمة المختصة | المدونة القانونية | المذكرات القانونية | المراجع القانونية | المقالات القانونية | المكتبة القانونية | المكتبة القانونية الالكترونية | المكتبة القانونية السعودية | المكتبه القانونيه | بعد الاعتراض على الحكم | تحليل النص القانوني | حكم محكمة الاستئناف | خطوات الاعتراض على الحكم | دراسة القضية | دعوى التعويض عن الضرر | دعوى التماس اعادة النظر | دعوى الكترونية | رد الدعوى في النظام السعودي | رفض الاعتراض على الحكم | رفض الدعوى | رفض الدعوى في الاستئناف | رفض الدعوى في النظام السعودي | شروط الاعتراض على الحكم | شروط التماس اعادة النظر | صحيفة دعوى إلكترونية | طرق الاعتراض على الاحكام القضائية | طرق الاعتراض على الحكم | طريقة الاعتراض على الحكم | طريقة الاعتراض على حكم | طريقة الاعتراض على حكم محكمة الاستئناف | طريقة التماس إعادة النظر | طريقة تقديم التماس إعادة النظر | طريقة كتابة الاعتراض على الحكم | طلب إعادة النظر في حكم المحكمة | طلب اعادة نظر في حكم المحكمة | طلب الاستئناف | طلب الاعتراض على الحكم | طلب الاعتراض على حكم | طلب التعويض عن الضرر | طلب التماس إعادة النظر | عدم قبول التماس إعادة النظر | في حال الاعتراض على الحكم | قبول التماس اعادة النظر | قضايا السعودية | قضايا قانونية | قضايا قانونيه | كيفية دراسة قضية قانونية | محامي استئناف | محامي بالاستئناف | محامي في المحكمة | محامي قضايا | محتوى قانوني | مدة التماس إعادة النظر | مدة تقديم التماس إعادة النظر | معلومات قانونية | معلومات قانونية سريعة | معلومات قانونية سعودية | معلومات قانونية عامة | معلومات قانونية مهمة | مقال عن القانون | مقال قانوني | مقالات قانونية | مقالات قانونية سعودية | مقالات قانونيه | مكتبة القانونية | مكتبة قانونية | مكتبة قانونية الكترونية | مكتبة محامي | ميعاد التماس إعادة النظر | نموذج التماس إعادة النظر في السعودية,Review the completed scoped procedural answers within the broader library purpose,not-established-by-assignment-or-html-parsing
/ar/our-work,ar,shared,shared or regional page,خبرة قانونية يمكن الاطلاع عليها,no-direct-query-evidence-in-inputs,,Research same-language queries for this specific purpose; lack of evidence is not lack of demand,not-established-by-assignment-or-html-parsing
/ar/our-work/adrah-almkhatr-fy-aqd-tamyny,ar,shared,work example,إدارة المخاطر في عقد تأميني,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/alaatrad-ala-almkhalfat-albyyyh,ar,shared,work example,الاعتراض على المخالفات البيئية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/alajrh-mqabl-almnfah-fy-aliyjar-altjary,ar,shared,work example,الأجرة مقابل المنفعة في الإيجار التجاري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/algha-mkhalfat-aldfaa-almdny-bhkm-qdayy,ar,shared,work example,الغاء مخالفات الدفاع المدني بحكم قضائي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/almttlbat-alqanwnyh-walhwkmh-aldakhlyh,ar,shared,work example,تسوية بين شركات مرتبطة: الموافقات وصلاحية التوقيع,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/altfawd-alqanwny-aldhky,ar,shared,work example,التفاوض على سرية مشروع تقني دولي وشروط عدم الالتفاف,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/andma-la-ykwn-alnzaa-hwl-alwaya-anma-altkyyf,ar,shared,work example,مدفوعات شريك أم دين على الشركة؟ دراسة أسباب الاستئناف,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/astratyjyh-kawnslw-lastrdad-sndat-lamr-bqymh-17-mlywn-ryal,ar,shared,work example,حكم بتسليم 16 سنداً لأمر تتجاوز قيمتها الاسمية 17 مليون ريال,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/astsharh-fy-ahtyal-maly,ar,shared,work example,استشاره في احتيال مالي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/atfaqyh-atar-ltqdym-alkhdmat-altqnyh-whlwl-aldhka-alastnaay,ar,shared,work example,اتفاقية اطار لتقديم الخدمات التقنية وحلول الذكاء الاصطناعي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/darsh-qdyh-qbl-alnzaa,ar,shared,work example,دراسة مطالبة بمستحقات توريد عمالة قبل رفع الدعوى,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/drash-qdyh-aqaryh-maqdh-fy-swrya,ar,shared,work example,دراسه قضيه عقاريه معقده في سوريا,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/drash-tan-amam-almhkmh-aladaryh-alalya,ar,shared,work example,دراسة طعن امام المحكمة الادارية العليا,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/fskh-aqd-iyjar-tjary-bsbb-khta-byanat-mnsh-iyjar,ar,shared,work example,فسخ عقد إيجار تجاري بسبب خطأ بيانات منصة إيجار,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/fskh-aqd-snaay-wastrdad-aldfah-almqdmh,ar,shared,work example,فسخ عقد صناعي واسترداد الدفعة المقدمة,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/hdwd-mswwlyh-alkfyl-fy-alsnd-lamr,ar,shared,work example,حدود مسؤولية الكفيل في السند لأمر,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/hl-ymkn-tjawz-altqadm-brfa-dawa-alithra-bla-sbb,ar,shared,work example,هل يمكن تجاوز التقادم برفع دعوى الإثراء بلا سبب؟,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/hyn-la-tnthy-alqdyh-balhkm-alawl-kyf-qlbt-kawnslw-msar-nzaa-amaly,ar,shared,work example,حين لا تنتهي القضية بالحكم الأول: كيف قلبت كاونسلو مسار نزاع عمالي؟,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kawnslw-tdam-shrkh-lastrdad-448958-ryala-an-aqd-mqawlat,ar,shared,work example,"مطالبة بمستحقات مقاولات: حكم بـ448,958 ريالاً",no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kawnslw-w-tkhfyd-mtalbh-amwlh-tjaryh-mn-348-mlywn-ryal-ila-584-alf-ryal,ar,shared,work example,كاونسلو و تخفيض مطالبة عمولة تجارية من 3.48 مليون ريال إلى 584 ألف ريال,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kawnslw-wtswyh-alarsdh-almalyh-qanwna,ar,shared,work example,كاونسلو وتسوية الارصدة المالية قانونا,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kyf-adart-kawnslw-mrajah-mhasbyh-hsash,ar,shared,work example,كيف أدارت كاونسلو مراجعة محاسبية حساسة.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kyf-athbtt-kawnslw-alshrakh,ar,shared,work example,كيف اثبتت كاونسلو الشراكه,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kyf-qadt-astratyjyh-kawnslw-ila-rfd-dawa-fskh-aqd-bya-wtawydat-bmlayyn-alryalat,ar,shared,work example,كيف قادت استراتيجية كاونسلو إلى رفض دعوى فسخ عقد بيع وتعويضات بملايين الريالات؟,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kyf-saadt-kawnslw-fy-astrdad-300000-ryal-abr-slh-qdayy-fy-nzaa-tjary,ar,shared,work example,"كيف ساعدت كاونسلو في استرداد 300,000 ريال عبر صلح قضائي في نزاع تجاري؟",no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kyf-sahmt-kawnslw-fy-anjah-mlf-thkymy-kaml,ar,shared,work example,تحكيم مقاولات: تنظيم المطالبات وأدلة الخبرة,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/kyf-sahmt-kawnslw-fy-tkhfyd-mtalbh-mn-500-alf-ryal-ila-227,ar,shared,work example,تخفيض مطالبة تجارية من 500 ألف ريال إلى 227 ألف ريال,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/maaljh-halh-khta-tby,ar,shared,work example,معالجة حالة خطأ طبي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mn-alkhta-ala-altawyd-kyf-hddt-kawnslw-almswwl-almbashran-hadth,ar,shared,work example,من الخطأ الى التعويض: كيف حددت كاونسلو المسؤول المباشرعن حادث,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mn-atham-maly-maqd-ila-brah-qtayh,ar,shared,work example,من اتهام مالي معقد إلى براءة قطعية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mn-drash-almstndat-ila-alhkm-bjmya-altlbat,ar,shared,work example,"مستحقات مقاولات: حكم في مطالبات بإجمالي 2,049,094 ريالاً",no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mnazah-tnfydh,ar,shared,work example,تحديد سبب الحوالة المالية في منازعة تنفيذ,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mnhj-kawnslw-fy-mrajah-alaqwd-altjaryh,ar,shared,work example,منهج كاونسلو في مراجعة العقود التجارية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/msandh-kawnslw-fy-qdyh-aabrh-llhdwd,ar,shared,work example,مسانده كاونسلو في قضية عابرة للحدود,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mswwlyh-almqawlyn,ar,shared,work example,استبدال مقاول الباطن وتحميله التكاليف: دراسة المسؤولية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/mta-tkwn-hyyh-althkym-ghyr-mkhtsh-athr-mkhalfh-shrt-althkym,ar,shared,work example,متى تكون هيئة التحكيم غير مختصة؟ أثر مخالفة شرط التحكيم,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/qdyh-mna-sfr-dd-aaml,ar,shared,work example,قضية منع سفر ضد عامل,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/ray-fy-mshrwa-qanwn-alwsath-alswry-maaljh-10-thghrat,ar,shared,work example,رأي في مشروع قانون الوساطة السوري/ معالجة 10 ثغرات,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/ray-qanwny-fy-tlb-aflas,ar,shared,work example,رأي قانوني في طلب افلاس,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/ray-qanwny-fy-tswyh-aabrh-llhdwd,ar,shared,work example,رأي قانوني في تسوية عابرة للحدود,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/rfd-dawa-fskh-aqd-amtyaz-tjary-wtawyd,ar,shared,work example,رفض دعوى فسخ عقد امتياز تجاري وتعويض,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/tfkyk-mstndat-altmas-aaadh-alnzr-bnjah,ar,shared,work example,تفكيك مستندات التماس اعاده النظر بنجاح,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/thlyl-mkhatr-nql-alaswl-walmsthqat-byn-alshrkat-almrtbth-athna-altsfyh,ar,shared,work example,تحليل مخاطر نقل الأصول والمستحقات بين الشركات المرتبطة أثناء التصفية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/thwyl-qdyh-mn-rfd-ala-qbwl-wtayyd,ar,shared,work example,"عدم تسليم معدات: حكم بـ248,600 ريال بعد الاستئناف",no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/ar/our-work/tshyh-altkyyf-alqanwny-lanha-aqd-alaml,ar,shared,work example,تصحيح التكييف القانوني لانهاء عقد العمل,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog,en,shared,shared or regional page,Articles & Guides,no-direct-query-evidence-in-inputs,,Research same-language queries for this specific purpose; lack of evidence is not lack of demand,not-established-by-assignment-or-html-parsing
/blog/ar,ar,shared,shared or regional page,مقالات وأدلة,no-direct-query-evidence-in-inputs,,Research same-language queries for this specific purpose; lack of evidence is not lack of demand,not-established-by-assignment-or-html-parsing
/blog/ar/Penalty-clause-in-saudi,ar,shared,article,الشرط الجزائي في العقود التجارية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/adarh-almkhatr-fy-alaqwd-wfq-alnzam-alsawdy,ar,shared,article,إدارة المخاطر في العقود وفق النظام السعودي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/alahlyh-fy-altaaqd-fy-alqanwn-alswry,ar,shared,article,الأهلية في التعاقد في القانون السوري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/alaqd-fy-alqanwn-alswry,ar,shared,article,العقد في القانون السوري,dated-observed-query-candidates,أركان عقد البيع في القانون السوري | شرح قانون العقود السوري | شروط صحة العقد في القانون السوري | شروط صحة عقد البيع في القانون السوري,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/alaywb-alkhfyh-fy-alaqwd-wathrha-alqanwny,ar,shared,article,العيوب الخفية في العقود وأثرها القانوني,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/alfrq-byn-alfskh-waltawyd-fy-alaqwd-altjaryh,ar,shared,article,الفرق بين الفسخ والتعويض في العقود التجارية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/almswwlyh-alaqdyh-fy-almaamlat-altjaryh,ar,shared,article,إثبات الإخلال بالعقد التجاري والضرر في السعودية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
